Brand,Category_URL,Price_Rs,Product_Code,Product_Name,Product_URL,Rating,Seller
Wildcraft,https://www.myntra.com/ppe-suit,1499,11963308,Wildcraft Unisex White Hypashield Hz10k Reusable Hazmat Suit,https://www.myntra.com/protective-bodysuits/wildcraft/wildcraft-unisex-white-hypashield-hz10k-reusable-hazmat-suit/11963308/buy,0,Vision Star
SWAYAM,https://www.myntra.com/ppe-suit,799,11942596,Swayam Unisex White Non Woven Premium Star Grade 60 GSM-SMS PPE Kit (High Breathable),https://www.myntra.com/protective-bodysuits/swayam/swayam-unisex-white-non-woven-premium-star-grade-60-gsm-sms-ppe-kit-high-breathable/11942596/buy,0,LINEN DESIGN
SWAYAM,https://www.myntra.com/ppe-suit,594,11942592,Swayam Blue Grade-A-90 GSM Repellent Breathable 10 PSI Pre Protective Equipment Kit,https://www.myntra.com/protective-bodysuits/swayam/swayam-blue-grade-a-90-gsm-repellent-breathable-10-psi-pre-protective-equipment-kit/11942592/buy,0,LINEN DESIGN
Apsis,https://www.myntra.com/surgical-masks,989,11956020,Apsis Unisex Blue 100 Pcs 3-Ply Anti-Pollution Surgical Masks,https://www.myntra.com/outdoor-masks/apsis/apsis-unisex-blue-100-pcs-3-ply-anti-pollution-surgical-masks/11956020/buy,1,TEAKWOOD
Clovia,https://www.myntra.com/surgical-masks,399,11815250,Clovia Adults Green 25 Pcs 3-Layer Surgical Masks,https://www.myntra.com/outdoor-masks/clovia/clovia-adults-green-25-pcs-3-layer-surgical-masks/11815250/buy,0,PURPLE PANDA FASHIONS PVT LTD
yelloe,https://www.myntra.com/surgical-masks,299,11918270,yelloe Adults Blue 10 Pcs 3-Ply Disposable Masks With Attached Eye Shield,https://www.myntra.com/outdoor-masks/yelloe/yelloe-adults-blue-10-pcs-3-ply-disposable-masks-with-attached-eye-shield/11918270/buy,1,Indiflashmart
Voylla,https://www.myntra.com/masks-store,336,11886928,Voylla Unisex Blue Printed 4 Pcs 2 Ply Reusable Outdoor Fabric Masks,https://www.myntra.com/outdoor-masks/voylla/voylla-unisex-blue-printed-4-pcs-2-ply-reusable-outdoor-fabric-masks/11886928/buy,4.3636365,VOYLLA FASHIONS PVT LTD
Clovia,https://www.myntra.com/surgical-masks,608,11815244,Clovia Adults Blue 40 Pcs 3-Layer Surgical Masks,https://www.myntra.com/outdoor-masks/clovia/clovia-adults-blue-40-pcs-3-layer-surgical-masks/11815244/buy,2,PURPLE PANDA FASHIONS PVT LTD
OOMPH,https://www.myntra.com/surgical-masks,401,12167412,OOMPH Unisex 25 Pcs Blue 3 Ply Non Surgical Disposable Face Masks,https://www.myntra.com/outdoor-masks/oomph/oomph-unisex-25-pcs-blue-3-ply-non-surgical-disposable-face-masks/12167412/buy,0,MODEREF INC
House Of Accessories,https://www.myntra.com/surgical-masks,699,12046640,House Of Accessories Adults Blue 50 Pcs Reusable 3-Ply Surgical Masks with Nosepin,https://www.myntra.com/outdoor-masks/house-of-accessories/house-of-accessories-adults-blue-50-pcs-reusable-3-ply-surgical-masks-with-nosepin/12046640/buy,0,Finesse Creations Inc
House Of Accessories,https://www.myntra.com/surgical-masks,799,12046632,House Of Accessories Adults Blue Pack of 50 Reusable 3-Ply Surgical Masks with Nosepin,https://www.myntra.com/outdoor-masks/house-of-accessories/house-of-accessories-adults-blue-pack-of-50-reusable-3-ply-surgical-masks-with-nosepin/12046632/buy,0,Finesse Creations Inc
Skidlers,https://www.myntra.com/surgical-masks,789,11851600,Skidlers Unisex Set of 100 Blue 3-Ply Disposable Outdoor Masks,https://www.myntra.com/outdoor-masks/skidlers/skidlers-unisex-set-of-100-blue-3-ply-disposable-outdoor-masks/11851600/buy,0,Manju Collection
Shakumbhari,https://www.myntra.com/surgical-masks,837,11871530,Shakumbhari Unisex 100 Pcs 3-Ply Disposable Surgical Masks,https://www.myntra.com/outdoor-masks/shakumbhari/shakumbhari-unisex-100-pcs-3-ply-disposable-surgical-masks/11871530/buy,0,MSD FABRICS
SWAYAM,https://www.myntra.com/surgical-masks,849,11818876,SWAYAM Men 100 Pcs Green 3-Ply Disposable Surgical Face Masks,https://www.myntra.com/outdoor-masks/swayam/swayam-men-100-pcs-green-3-ply-disposable-surgical-face-masks/11818876/buy,0,LINEN DESIGN
